Key:int,Value:string
101001,游戏服务器连接中
101002,请求登录游戏中
101003,游戏数据交换中
101004,请求服务器列表中
101005,数据请求失败，请检查网络后重试
101006,温馨提示
101007,与游戏断开连接，是否重新连接游戏？
101008,重新连接
101009,重新尝试
101010,同帐号已经登录
101011,帐号已经封停
101012,错误的版本号
101013,服务器人数已满
101014,连接已满
101015,登录失败，账户名或密码错误。
101016,不允许操作
101017,密码错误次数太多
101018,错误的客户端版本号
101019,未知错误
101020,到了角色数量上限
101021,非法的创建参数
101022,非法的名字
101023,名字重复
101024,删除角色成功
101025,内部错误
101026,角色不存在
101027,参数错误
101028,帐号中不存在此角色
101029,角色不存在
101030,没有SS承载场景
101031,场景不存在
101032,角色需要改名
101033,riss?未连接
101034,用户名不合法
101035,密码不合法
101036,请输入新的密码
101037,请输入密码
101038,请输入用户名
101039,密码不正确
101040,密码长度不能低于6位
101041,账号:
101042,密码:
101043,请输入新的账号
101044,请输入新的密码
101045,找回密码
101046,账号或者密码错误
101047,游客登录
101048,登录
101049,抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。
101050,验证信息错误
101051,系统错误
101052,重新登录
101053,天
101054,时
101055,分
101056,秒
101057,帐号已经封停，将在%s内解封
101058,您已经断线，正在尝试重连
101059,账号注册
101060,密码找回
101061,"请求服务器列表失败,请检查网络后重试"
101062,游戏正在维护中
102001,请检查您的移动设备是否已经连接到无线网络或者移动网络
102002,朕知道了
103001,请输入您的手机号，作为领奖联系方式使用
103002,请输入您的手机号
103003,请输入正确的手机号
103004,账号登录
103005,确定
103006,您的手机号已被注册\n您可以直接登录或者使用新手机号注册
103007,直接登录
103008,新手机注册
103009,手机号已经被注册过
103010,手机号注册失败
104001,手机号:
104002,请输入您的手机号
104003,验证码:
104004,请输入验证码
104005,发送
104006,设置密码:
104007,请输入6-12位密码
104008,验证码错误
104009,密码长度不够
104010,确定
104011,设置新密码:
105001,您已成功绑定手机！
105002,确定
105003,密码短信已发送\n输入密码即可完成注册，获得奖励
105004,暂不注册
105005,继续注册
105006,该手机号码已绑定过账号！请使用其他手机号码绑定！
106001,通过手机验证密码
106002,请输入您的手机号
106003,游客登录
106004,登录
106005,密码找回失败
106006,密码修改成功
106007,该手机号码未绑定过账号
107001,已向您的手机发送验证码！
107002,验证码
107003,重发
107004,请输入新的密码
107005,重置密码并进入游戏
108001,请输入您的名字
108002,领取
109001,正在拼命加载，请稍后……
110001,游戏有新版本，是否立即更新？
110002,取消
110003,确定
202001,该功能暂未开放
202002,在线人数:%s
202003,--
202004,确定要退出游戏？
202005,退出
202006,取消
202007,温馨提示
201001,昭通斗地主
201002,昭通闷鸡
201003,昭通麻将
301001,距离开赛
301002,距离比赛开始：
301003,当前人数：
301004,邀请
301005,退赛
301006,输入内容（限制20个字）
301007,发送
302001,最高赢取
302002,恭喜获得
302003,万能图片
302004,奖金表
302005,我的中奖记录
302006,摇出
302007,提示：
302008,可以当成任何元素使用
303001,当前排名：
303002,奖励方案
303003,摇摇乐
303004,夺冠！
303005,退赛提醒
303006,现在离开将会放弃当前比赛，是否要退赛？放弃比赛无法获得奖励，也不会退还报名费
303007,考虑好了
303008,我再想想
304001,比赛场中无法离开游戏
304002,比赛场中无法聊天
